L,a,b
22.5835,50.4475,-35.5838
77.0289,-54.8295,75.6136
39.8749,-39.1624,45.1203
80.3697,-51.1937,0.4271
16.3588,52.6264,-70.9927
67.1493,-15.1239,-41.7795
26.0972,65.3249,-82.5064
79.7963,-68.9589,77.2755
57.3998,-59.1151,58.9341
53.5012,85.3967,-24.4699
56.8812,94.804,-64.3129
82.8486,-81.3317,79.2946
78.2932,-41.082,-14.3897
16.9404,-23.0463,23.8499
69.5241,-25.207,-30.4442
32.9108,68.1088,-66.2552
26.2808,58.0819,-53.6326
79.0309,-78.575,74.2936
62.2227,-61.6768,62.8631
53.6155,68.231,65.786
29.9852,75.2063,-102.1339
22.9212,6.7658,32.1358
41.8083,81.3776,-82.1641
91.964,-75.604,83.8809
50.3288,66.6942,62.9106
73.5006,-30.65,-25.9632
34.5396,61.6404,-13.3691
56.5323,-39.1481,1.4111
1.0965,4.968,1.3229
36.2779,-32.5668,42.4062
42.8744,-14.7554,-24.4126
42.0921,80.0458,-74.8277
17.6797,4.7551,25.6553
19.7354,-7.3973,-16.8262
68.5521,-48.2959,6.4934
77.099,-10.5407,78.2087
80.1181,-36.7973,-22.3103
36.9408,65.8901,-25.9651
88.9498,-75.5396,84.6597
40.5264,65.6399,41.8126
40.8311,67.1318,13.3196
43.635,77.4544,-51.903
44.8215,-50.5305,48.7695
63.7783,-63.9139,64.0699
41.8239,-10.515,48.3181
61.8616,-7.7697,65.4779
36.8267,10.6884,-49.5295
15.3244,36.9333,8.5903
5.9407,30.5483,-34.0253
82.3155,-63.1614,21.5872
49.1739,83.0253,-46.2464
37.555,80.0536,-94.443
62.4074,-53.9254,63.363
4.4138,20.4128,-0.0208
21.7045,14.1395,-41.965
74.8505,-71.5372,55.8869
45.4409,76.0059,-26.2281
36.8121,51.1863,-87.9286
30.9781,30.3485,42.3018
14.4906,-9.786,-9.7603
52.5447,59.7065,63.7994
82.5285,-80.8641,74.1228
38.0385,71.6159,-55.2891
33.3578,53.2914,47.0276
32.4463,72.3761,-85.2852
59.3093,-56.8835,38.2059
72.9051,-51.0907,72.3262
21.044,49.1386,-38.1476
48.7971,-43.0476,17.3736
71.38,-21.4564,-36.8114
67.6001,-25.8141,69.2093
77.3879,-42.2426,76.5612
52.8747,-53.1681,55.3999
84.0926,-82.1014,75.0829
22.0747,61.6609,-82.7473
75.423,-52.8576,8.2203
118.2175,-7.6532,61.0909
22.9621,-2.9334,31.702
87.1274,-58.1628,6.538
27.7263,53.1704,-9.9225
73.9537,-20.6059,-39.8166
48.8284,54.224,60.0621
40.7395,66.2189,30.9306
53.2736,85.9685,-31.904
82.1224,-48.6431,80.2178
52.224,81.7885,-1.9519
28.5444,73.0122,-99.4131
18.2119,-27.5672,25.3051
30.4615,58.8058,-30.2909
46.4352,-9.9177,52.2631
46.5737,72.3898,60.1094
72.9654,-22.997,-35.9713
50.2981,-37.2791,53.9756
42.1092,80.3066,-75.9465
37.1597,26.5826,47.2941
47.0805,14.1179,54.5601
40.1431,80.6845,-86.6724
58.3308,-57.3803,59.7885
43.5045,80.1821,-67.8583
53.2532,80.1295,65.7131
70.6684,-18.5095,-40.0846
80.6208,-79.8366,77.4933
8.838,31.31,-15.2665
